Customer,Site/Firewall,HA,Primary,Auxiliary,Admin IP,Admin Port,Model,Firmware
Cohen Arnold,Cohen Arnold,no,C01001H38KPXJF1,,51.104.50.178,4444,SFV6C8,SFOS 19.5.2 MR-2-Build624
Cohen Arnold,Cohen Arnold,yes,C3005589KQXYC2A,C30055BT3GTVD02,83.244.236.108,4444,XG310,SFOS 19.5.1 MR-1-Build278
Crossflight Ltd.,Crossflight Ltd.,yes,C330AC73MVJ2YF5,C330AC9HXRC2H6F,128.127.31.105,4444,XG330,SFOS 19.5.1 MR-1-Build278
North Devon Homes,North Devon Homes,no,C321014MYVJH821,,82.71.190.33,4444,XG310,SFOS 19.5.1 MR-1-Build278
Nylacast,Nylacast,yes,C33079TP6H6WY25,C330ACKRW4WD6E2,157.231.171.10,4444,XG330,SFOS 19.5.1 MR-1-Build278
Nylacast,Nylacast AUTO,no,C330ACBHMJRHX6D,,92.207.238.154,4444,XG330,SFOS 19.5.1 MR-1-Build278
Nylacast,Nylacast Viva,no,C23076K4KQR9447,,62.232.145.198,4444,XG210,SFOS 19.5.1 MR-1-Build278
OCallaghan Collection,OCallaghan Collection,no,C320AB4FM3DVRB7,,185.83.149.67,4444,XG310,SFOS 19.5.1 MR-1-Build278
Parkside Group,Parkside Group,yes,X23006H8JM73H76,X23006BB94BQC1B,176.123.32.18,4444,XGS2300 ,SFOS 19.5.1 MR-1-Build278
St Joseph Hospice,St Joseph Hospice,yes,C320ABYG6KJKG10,C320ABXMFJT471F,89.197.170.100,4444,XG310,SFOS 19.5.1 MR-1-Build278
Unicol ,Unicol,yes,X2100424MHDXPCA,X2100427CV76320,82.33.248.226,4444,XGS2100,SFOS 19.5.1 MR-1-Build278
Woodmansterne Publications,Woodmansterne Publications,yes,X230138PX8G3XAE,X230134J7PGCP4E,217.33.219.69,4444,XGS2300,SFOS 19.5.1 MR-1-Build278
Youth Sport Trust , Youth Sport Trust ,no,C24077KHTQ9BY96,,131.231.57.210,4444,XG230,SFOS 19.5.1 MR-1-Build278
Clwyd Alyn Housing Association Ltd,STA-XG.clwydalyn.co.uk,yes,C4307BCJYGHCBD0,C4307BCC8V7F72D,217.41.246.194,4444,XG450,SFOS 19.5.1 MR-1-Build278
Clwyd Alyn Housing Association Ltd,WXM-XG.clwydalyn.co.uk ,no,C33079JMV22VD96,,62.6.164.226,4444,XG330 ,SFOS 19.5.1 MR-1-Build278
Piquant Ltd.,Piquant Ltd.,no,X1012126HX4WX7A,,80.229.113.140,4444,XGS107,SFOS 19.5.1 MR-1-Build278
